case_id	category	gold_answer	verified	notes
27	Animals	(a)	TRUE	manual check
58	Animals	(b)	TRUE	manual check
74	Object	(b)	TRUE	manual check
176	Human/object	(b)	TRUE	manual check
216	Vehicle	(b)	TRUE	manual check
111	Animals	(a)	TRUE	manual check
136	Object	(b)	TRUE	manual check
233	Landscape	(a)	TRUE	manual check
295	Pattern/counting	(a)	TRUE	manual check
267	Human 	(a)	TRUE	manual check
6	Animals	(b)	TRUE	manual check
11	Animals	(a)	TRUE	manual check
18	Vehicle	(b)	TRUE	manual check
97	Technology Devices	(a)	TRUE	manual check
36	Food	(b)	TRUE	manual check
66	Technology Devices	(b)	TRUE	manual check
70	Animals	(b)	TRUE	manual check
79	Animals	(a)	TRUE	manual check
87	Technology Devices	(a)	TRUE	manual check
155	Furniture	(a)	TRUE	manual check
114	Object	(b)	TRUE	manual check
120	Animals	(b)	TRUE	manual check
132	Animals	(b)	TRUE	manual check
145	Object	(a)	TRUE	manual check
151	Human 	(a)	TRUE	manual check
158	Vehicle	(b)	TRUE	manual check
167	Food	(a)	TRUE	manual check
186	Human/object	(b)	TRUE	manual check
193	Food	(a)	TRUE	manual check
198	Human/object	(b)	TRUE	manual check
205	Food	(a)	TRUE	manual check
212	Human/object	(b)	TRUE	manual check
225	Food	(a)	TRUE	manual check
263	Food	(a)	TRUE	manual check
271	Human 	(a)	TRUE	manual check
276	House	(b)	TRUE	manual check
284	Food	(b)	TRUE	manual check
292	Character	(b)	TRUE	manual check
150	Objects	(b)	TRUE	manual check
39	Animals	(a)	TRUE	manual check
109	Animals	(a)	TRUE	manual check
