case_id,condition,gold_answer,parsed_answer,correct
27,blank_image,(a),b,False
27,far_mismatch,(a),b,False
27,hard_mismatch,(a),b,False
58,blank_image,(b),b,True
58,far_mismatch,(b),b,True
58,hard_mismatch,(b),b,True
74,blank_image,(b),b,True
74,far_mismatch,(b),b,True
74,hard_mismatch,(b),b,True
176,blank_image,(b),a,False
176,far_mismatch,(b),a,False
176,hard_mismatch,(b),a,False
216,blank_image,(b),b,True
216,far_mismatch,(b),b,True
216,hard_mismatch,(b),b,True
111,blank_image,(a),a,True
111,far_mismatch,(a),a,True
111,hard_mismatch,(a),a,True
136,blank_image,(b),?,False
136,far_mismatch,(b),a,False
136,hard_mismatch,(b),?,False
233,blank_image,(a),b,False
233,far_mismatch,(a),a,True
233,hard_mismatch,(a),a,True
295,blank_image,(a),b,False
295,far_mismatch,(a),b,False
295,hard_mismatch,(a),a,True
267,blank_image,(a),a,True
267,far_mismatch,(a),b,False
267,hard_mismatch,(a),a,True
6,blank_image,(b),a,False
6,far_mismatch,(b),b,True
6,hard_mismatch,(b),b,True
11,blank_image,(a),b,False
11,far_mismatch,(a),b,False
11,hard_mismatch,(a),a,True
18,blank_image,(b),b,True
18,far_mismatch,(b),b,True
18,hard_mismatch,(b),b,True
97,blank_image,(a),b,False
97,far_mismatch,(a),b,False
97,hard_mismatch,(a),a,True
36,blank_image,(b),b,True
36,far_mismatch,(b),b,True
36,hard_mismatch,(b),b,True
66,blank_image,(b),b,True
66,far_mismatch,(b),b,True
66,hard_mismatch,(b),b,True
70,blank_image,(b),b,True
70,far_mismatch,(b),b,True
70,hard_mismatch,(b),b,True
79,blank_image,(a),a,True
79,far_mismatch,(a),b,False
79,hard_mismatch,(a),?,False
87,blank_image,(a),b,False
87,far_mismatch,(a),b,False
87,hard_mismatch,(a),b,False
155,blank_image,(a),?,False
155,far_mismatch,(a),b,False
155,hard_mismatch,(a),b,False
114,blank_image,(b),b,True
114,far_mismatch,(b),b,True
114,hard_mismatch,(b),b,True
120,blank_image,(b),?,False
120,far_mismatch,(b),?,False
120,hard_mismatch,(b),b,True
132,blank_image,(b),?,False
132,far_mismatch,(b),?,False
132,hard_mismatch,(b),b,True
145,blank_image,(a),a,True
145,far_mismatch,(a),a,True
145,hard_mismatch,(a),a,True
151,blank_image,(a),?,False
151,far_mismatch,(a),?,False
151,hard_mismatch,(a),?,False
158,blank_image,(b),a,False
158,far_mismatch,(b),a,False
158,hard_mismatch,(b),a,False
167,blank_image,(a),a,True
167,far_mismatch,(a),?,False
167,hard_mismatch,(a),b,False
186,blank_image,(b),b,True
186,far_mismatch,(b),b,True
186,hard_mismatch,(b),b,True
193,blank_image,(a),b,False
193,far_mismatch,(a),a,True
193,hard_mismatch,(a),b,False
198,blank_image,(b),b,True
198,far_mismatch,(b),b,True
198,hard_mismatch,(b),b,True
205,blank_image,(a),b,False
205,far_mismatch,(a),b,False
205,hard_mismatch,(a),b,False
212,blank_image,(b),a,False
212,far_mismatch,(b),a,False
212,hard_mismatch,(b),a,False
225,blank_image,(a),b,False
225,far_mismatch,(a),b,False
225,hard_mismatch,(a),b,False
263,blank_image,(a),b,False
263,far_mismatch,(a),a,True
263,hard_mismatch,(a),b,False
271,blank_image,(a),?,False
271,far_mismatch,(a),a,True
271,hard_mismatch,(a),a,True
276,blank_image,(b),?,False
276,far_mismatch,(b),?,False
276,hard_mismatch,(b),?,False
284,blank_image,(b),a,False
284,far_mismatch,(b),a,False
284,hard_mismatch,(b),a,False
292,blank_image,(b),b,True
292,far_mismatch,(b),b,True
292,hard_mismatch,(b),b,True
150,blank_image,(b),a,False
150,far_mismatch,(b),b,True
150,hard_mismatch,(b),a,False
39,blank_image,(a),b,False
39,far_mismatch,(a),b,False
39,hard_mismatch,(a),b,False
