source_id,bundle_id,model_name,condition,question,official_gold,raw_response,final_answer,response_mode,evidence_issue_stated,specific_visual_claim
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,Which category does this image belong to?,B,B: sketch,B,confident_answer,none,yes163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,Which category does this image belong to?,B,B: sketch,B,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,Which category does this image belong to?,B,B: sketch,B,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,no_image,Which category does this image belong to?,B,D: photo,D,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,Which category does this image belong to?,B,D: photo,D,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,Which category does this image belong to?,B,D: photo,D,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch,Which category does this image belong to?,B,B: sketch,B,confident_answer,none,no
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,What is the primary activity depicted in the image?,A,A: A crane lifting a box from a building,judge_error,confident_answer,none,yes
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,no_image,What is the primary activity depicted in the image?,A,B: A man on a truck operating a crane to lift a box from a building,judge_error,confident_answer,none,yes
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,What is the primary activity depicted in the image?,A,B: A man on a truck operating a crane to lift a box from a building,judge_error,confident_answer,none,yes
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,What is the primary activity depicted in the image?,A,,judge_error,unscorable,blank_or_empty,no
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch,What is the primary activity depicted in the image?,A,D: A man on a balcony of a house under construction in the city at sunset,judge_error,confident_answer,none,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,What is the overall theme of the image?,A,C: A woman in an outdoor setting,judge_error,confident_answer,none,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,no_image,What is the overall theme of the image?,A,"The image provided does not contain any visual elements that allow for a clear determination of the overall theme. Therefore, it is not possible to accurately answer the question based on the given options and the lack of visual information.",judge_error,explicit_abstention,insufficient_or_unclear,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,What is the overall theme of the image?,A,"The image provided does not contain any visual content or objects to analyze for determining its theme. Therefore, it is impossible to accurately determine the overall theme based on the given information.",judge_error,explicit_abstention,blank_or_empty,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,What is the overall theme of the image?,A,C: A woman in an outdoor setting,judge_error,confident_answer,none,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch,What is the overall theme of the image?,A,C: A woman in an outdoor setting,judge_error,confident_answer,none,yes
