source_id,bundle_id,model_name,condition,capability,question,official_gold,raw_response,decision,response_mode,evidence_issue_stated,specific_visual_claim
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,coarse perception,Which category does this image belong to?,B,B: sketch,B,confident_answer,none,yes
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,no_image,coarse perception,Which category does this image belong to?,B,D: photo,D,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,coarse perception,Which category does this image belong to?,B,D: photo,D,confident_answer,none,no
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,coarse perception,Which category does this image belong to?,B,D: photo,D,confident_answer,none,yes
163,bundle_0,Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch,coarse perception,Which category does this image belong to?,B,B: sketch,B,confident_answer,none,no
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,coarse perception,What is the primary activity depicted in the image?,A,A: A crane lifting a box from a building,A,confident_answer,none,yes
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,no_image,coarse perception,What is the primary activity depicted in the image?,A,B: A man on a truck operating a crane to lift a box from a building,B,confident_answer,none,yes
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,coarse perception,What is the primary activity depicted in the image?,A,B: A man on a truck operating a crane to lift a box from a building,B,confident_answer,none,yes
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,coarse perception,What is the primary activity depicted in the image?,A,,UNSCORABLE,unscorable,blank_or_empty,no
28,bundle_1,Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch,coarse perception,What is the primary activity depicted in the image?,A,D: A man on a balcony of a house under construction in the city at sunset,D,confident_answer,none,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,coarse perception,What is the overall theme of the image?,A,C: A woman in an outdoor setting,C,confident_answer,none,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,no_image,coarse perception,What is the overall theme of the image?,A,"The image provided does not contain any visual elements that allow for a clear determination of the overall theme. Therefore, it is not possible to accurately answer the question based on the given options and the lack of visual information.",ABSTAIN,explicit_abstention,insufficient_or_unclear,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,coarse perception,What is the overall theme of the image?,A,"The image provided does not contain any visual content or objects to analyze for determining its theme. Therefore, it is impossible to accurately determine the overall theme based on the given information.",ABSTAIN,explicit_abstention,blank_or_empty,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,coarse perception,What is the overall theme of the image?,A,C: A woman in an outdoor setting,C,confident_answer,none,yes
6,bundle_2,Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch,coarse perception,What is the overall theme of the image?,A,C: A woman in an outdoor setting,C,confident_answer,none,yes
189,bundle_3,Qwen/Qwen2.5-VL-3B-Instruct,correct_image,coarse perception,What feeling is shown in this image?,B,B: lonely,B,confident_answer,none,no
189,bundle_3,Qwen/Qwen2.5-VL-3B-Instruct,no_image,coarse perception,What feeling is shown in this image?,B,"The image provided does not contain any visual content for me to analyze or determine the emotion being shown. Therefore, I cannot provide an answer based on the given options.",ABSTAIN,explicit_abstention,blank_or_empty,yes
189,bundle_3,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,coarse perception,What feeling is shown in this image?,B,"The image provided is blank and does not contain any visual content. Therefore, it is impossible to determine the feeling shown in the image based on the given options.",ABSTAIN,explicit_abstention,blank_or_empty,yes
189,bundle_3,Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch,coarse perception,What feeling is shown in this image?,B,B: lonely,B,confident_answer,none,no
