model_name,metric,condition,n,estimate,ci_95_low,ci_95_high
HuggingFaceTB/SmolVLM-256M-Instruct,correct_image_accuracy,correct_image,120,0.35,0.26666666666666666,0.43333333333333335
HuggingFaceTB/SmolVLM-256M-Instruct,confident_valid_image_error_rate,correct_image,120,0.5583333333333333,0.4666666666666667,0.65
HuggingFaceTB/SmolVLM-256M-Instruct,original_gold_match,no_image,120,0.225,0.15,0.3
HuggingFaceTB/SmolVLM-256M-Instruct,evidence_dependence_gap,no_image,120,0.12499999999999997,0.033333333333333326,0.2166666666666667
HuggingFaceTB/SmolVLM-256M-Instruct,original_gold_match,blank_image,120,0.23333333333333334,0.15833333333333333,0.30833333333333335
HuggingFaceTB/SmolVLM-256M-Instruct,evidence_dependence_gap,blank_image,120,0.11666666666666664,0.033333333333333326,0.20000000000000004
HuggingFaceTB/SmolVLM-256M-Instruct,original_gold_match,far_mismatch,120,0.3,0.225,0.38333333333333336
HuggingFaceTB/SmolVLM-256M-Instruct,evidence_dependence_gap,far_mismatch,120,0.04999999999999999,-0.03333333333333338,0.14166666666666666
HuggingFaceTB/SmolVLM-256M-Instruct,original_gold_match,hard_mismatch,120,0.2916666666666667,0.20833333333333334,0.375
HuggingFaceTB/SmolVLM-256M-Instruct,evidence_dependence_gap,hard_mismatch,120,0.05833333333333329,-0.033333333333333326,0.15000000000000002
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_response,no_image,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_response,blank_image,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_response,far_mismatch,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_response,hard_mismatch,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,blank_blindness,blank_image,120,0.8333333333333334,0.7666666666666667,0.9
HuggingFaceTB/SmolVLM-256M-Instruct,far_mismatch_blindness,far_mismatch,120,0.7666666666666667,0.6916666666666667,0.8416666666666667
HuggingFaceTB/SmolVLM-256M-Instruct,hard_mismatch_blindness,hard_mismatch,120,0.7916666666666666,0.7166666666666667,0.8583333333333333
HuggingFaceTB/SmolVLM-256M-Instruct,answer_invariance,no_image,120,0.4583333333333333,0.36666666666666664,0.5416666666666666
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_condition_sensitivity,no_image,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,answer_invariance,blank_image,120,0.5416666666666666,0.45,0.6333333333333333
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_condition_sensitivity,blank_image,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,answer_invariance,far_mismatch,120,0.5916666666666667,0.5,0.675
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_condition_sensitivity,far_mismatch,120,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-256M-Instruct,answer_invariance,hard_mismatch,120,0.5583333333333333,0.4666666666666667,0.65
HuggingFaceTB/SmolVLM-256M-Instruct,appropriate_condition_sensitivity,hard_mismatch,120,0.0,0.0,0.0
Qwen/Qwen2.5-VL-3B-Instruct,correct_image_accuracy,correct_image,120,0.49166666666666664,0.4,0.5833333333333334
Qwen/Qwen2.5-VL-3B-Instruct,confident_valid_image_error_rate,correct_image,120,0.4583333333333333,0.36666666666666664,0.55
Qwen/Qwen2.5-VL-3B-Instruct,original_gold_match,no_image,120,0.10833333333333334,0.058333333333333334,0.16666666666666666
