bundle_index,case_id,filename,width,height,sha256
1,27,mmvp_w5_001_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
2,58,mmvp_w5_002_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
3,74,mmvp_w5_003_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
4,176,mmvp_w5_004_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
5,216,mmvp_w5_005_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
6,111,mmvp_w5_006_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
7,136,mmvp_w5_007_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
8,233,mmvp_w5_008_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
9,295,mmvp_w5_009_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
10,267,mmvp_w5_010_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
11,6,mmvp_w5_011_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
12,11,mmvp_w5_012_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
13,18,mmvp_w5_013_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
14,97,mmvp_w5_014_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
15,36,mmvp_w5_015_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
16,66,mmvp_w5_016_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
17,70,mmvp_w5_017_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
18,79,mmvp_w5_018_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
19,87,mmvp_w5_019_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
20,155,mmvp_w5_020_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
21,114,mmvp_w5_021_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
22,120,mmvp_w5_022_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
23,132,mmvp_w5_023_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
24,145,mmvp_w5_024_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
25,151,mmvp_w5_025_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
26,158,mmvp_w5_026_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
27,167,mmvp_w5_027_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
28,186,mmvp_w5_028_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
29,193,mmvp_w5_029_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
30,198,mmvp_w5_030_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
31,205,mmvp_w5_031_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
32,212,mmvp_w5_032_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
33,225,mmvp_w5_033_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
34,263,mmvp_w5_034_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
35,271,mmvp_w5_035_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
36,276,mmvp_w5_036_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
37,284,mmvp_w5_037_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
38,292,mmvp_w5_038_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
39,150,mmvp_w5_039_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
40,39,mmvp_w5_040_blank.png,224,224,0f573a5f9735ef250a5be959f1f918591900ee98bbb7cc31d4ab3e9e76a7cda4
