run_id,case_id,bundle_id,source_id,model_name,condition,question,gold_answer,raw_response,response_mode,evidence_issue_acknowledged,evidence_issue_type,specific_visual_claim,answer_correct,annotator,adjudicated,notes
week3_SmolVLM-256M-Instruct_005,mmvp_w3_002_image_present,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture.",confident_answer,not_applicable,none,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_006,mmvp_w3_002_no_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture. The duck's entire beak is located in the upper part of the image, and it is not visible in the lower part of the image.",confident_answer,no,missing,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_007,mmvp_w3_002_blank_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the duck's entire beak visible in the picture?",(a)," No",confident_answer,no,blank,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_008,mmvp_w3_002_mismatched_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture.",confident_answer,no,mismatched,yes,no,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_005,mmvp_w3_002_image_present,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the duck's entire beak visible in the picture?",(a),"No, the duck's entire beak is not visible in the picture. The image shows only part of the duck's beak, which appears to be yellow and curved.",confident_answer,not_applicable,none,yes,no,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_006,mmvp_w3_002_no_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the duck's entire beak visible in the picture?",(a),"I'm sorry, but I cannot answer your question without more information about the picture you are referring to. Please provide me with a description of the picture or upload it so that I can assist you better.",explicit_abstention,yes,missing,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_007,mmvp_w3_002_blank_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the duck's entire beak visible in the picture?",(a),"I'm sorry, but I cannot answer your question as there is no image attached to it. Please provide an image so that I can assist you better.",explicit_abstention,yes,blank,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_008,mmvp_w3_002_mismatched_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the duck's entire beak visible in the picture?",(a),"No, the duck's entire beak is not visible in the picture. The image shows only part of the duck's body, specifically its head and neck area.",confident_answer,no,mismatched,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_029,mmvp_w3_008_image_present,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the ladybug positioned upright or upside down?",(a)," Upside-down",confident_answer,not_applicable,none,no,no,Student A,no,
week3_SmolVLM-256M-Instruct_030,mmvp_w3_008_no_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the ladybug positioned upright or upside down?",(a)," The ladybug is positioned upright.",confident_answer,no,missing,yes,yes,Student A,no,
