model_name,capability,metric,condition,n,estimate,ci_95_low,ci_95_high
HuggingFaceTB/SmolVLM-Instruct,coarse perception,correct_image_accuracy,correct_image,10,0.6,0.3,0.9
HuggingFaceTB/SmolVLM-Instruct,coarse perception,confident_valid_image_error_rate,correct_image,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,coarse perception,original_gold_match,no_image,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,coarse perception,evidence_dependence_gap,no_image,10,0.2,0.0,0.5
HuggingFaceTB/SmolVLM-Instruct,coarse perception,original_gold_match,blank_image,10,0.5,0.2,0.8
HuggingFaceTB/SmolVLM-Instruct,coarse perception,evidence_dependence_gap,blank_image,10,0.1,-0.2,0.4
HuggingFaceTB/SmolVLM-Instruct,coarse perception,original_gold_match,far_mismatch,10,0.3,0.0,0.6
HuggingFaceTB/SmolVLM-Instruct,coarse perception,evidence_dependence_gap,far_mismatch,10,0.3,-0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,coarse perception,original_gold_match,hard_mismatch,10,0.2,0.0,0.5
HuggingFaceTB/SmolVLM-Instruct,coarse perception,evidence_dependence_gap,hard_mismatch,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,coarse perception,blank_image_blindness,blank_image,10,0.6,0.3,0.9
HuggingFaceTB/SmolVLM-Instruct,coarse perception,far_mismatch_blindness,far_mismatch,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,coarse perception,hard_mismatch_blindness,hard_mismatch,10,0.3,0.0,0.6
HuggingFaceTB/SmolVLM-Instruct,coarse perception,answer_invariance,no_image,10,0.7,0.4,1.0
HuggingFaceTB/SmolVLM-Instruct,coarse perception,answer_invariance,blank_image,10,0.6,0.3,0.9
HuggingFaceTB/SmolVLM-Instruct,coarse perception,answer_invariance,far_mismatch,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,coarse perception,answer_invariance,hard_mismatch,10,0.3,0.0,0.6
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,correct_image_accuracy,correct_image,10,0.3,0.0,0.6
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,confident_valid_image_error_rate,correct_image,10,0.7,0.4,1.0
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,original_gold_match,no_image,10,0.2,0.0,0.5
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,evidence_dependence_gap,no_image,10,0.1,-0.2,0.4
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,original_gold_match,blank_image,10,0.1,0.0,0.3
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,evidence_dependence_gap,blank_image,10,0.2,-0.2,0.6
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,original_gold_match,far_mismatch,10,0.3,0.0,0.6
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,evidence_dependence_gap,far_mismatch,10,0.0,-0.3,0.3
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,original_gold_match,hard_mismatch,10,0.0,0.0,0.0
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,evidence_dependence_gap,hard_mismatch,10,0.3,0.0,0.6
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,blank_image_blindness,blank_image,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,far_mismatch_blindness,far_mismatch,10,0.4,0.1,0.7
HuggingFaceTB/SmolVLM-Instruct,fine-grained perception,hard_mismatch_blindness,hard_mismatch,10,0.2,0.0,0.5
