run_id,case_id,source_id,model_name,evidence_condition,prompt_condition,prompt_version,question,raw_response,acknowledges_missing_image,appropriate_abstention,hard_mirage,soft_mirage,text_prior_answer,answers_without_visual_evidence,unscorable,primary_label,annotator,notes
week1_model1_002,phantom0_002,medical_chest_xray_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Is there evidence of cardiomegaly in this chest radiograph?," No, there is no evidence of cardiomegaly in this chest radiograph. Cardiomegaly is a condition that affects the heart and blood vessels.",no,no,no,yes,no,yes,no,soft_mirage,Luke,"Answers the chest radiograph question without acknowledging missing image; direct answer but no specific visual finding."
week1_model1_016,phantom0_016,biology_microscopy_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Is a nucleus clearly visible in the central cell?," Yes, a nucleus is clearly visible in the central cell.",no,no,yes,no,no,yes,no,hard_mirage,Luke,"Claims a specific visible feature is present despite no image."
week1_model1_cit,phantom0_019_explicit,scene_crowds_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Estimate the total number of people in this crowd., 1000,no,no,yes,no,no,yes,no,hard_mirage,Luke,"Provides a specific crowd count despite no image being provided."
week1_model1_018,phantom0_018,scene_traffic_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,How many cars are waiting at the intersection?, 0 cars are waiting at the intersection.,no,no,yes,no,no,yes,no,hard_mirage,Luke,"Answers the traffic question with a specific number of cars despite no image being provided."
week1_model1_cit,phantom0_008_explicit,medical_pathology_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Are there mitotic figures visible in this high-power field?," No, there are no mitotic figures visible in this high-power field.",no,no,yes,no,no,yes,no,hard_mirage,Luke,"Answers the pathology question without acknowledging missing image; direct answer but no specific visual finding."
week1_model1_cit,phantom0_020_explicit,scene_crowds_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,What is the general mood or emotion of the crowd?, The crowd was happy.,no,no,no,yes,no,yes,no,soft_mirage,Luke,"Provides a specific emotional state of the crowd despite no image being provided."
week1_model1_013,phantom0_013,biology_plants_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,What is the common name of this plant?," The common name of this plant is the ""Cactus.""",no,no,no,yes,no,yes,no,soft_mirage,Luke,"Provides answer without specific visual evidence; direct answer but no specific visual finding."
week1_model1_cit,phantom0_017_explicit,scene_traffic_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Describe the traffic flow in this scene.," The traffic flow in this scene is described as a busy and chaotic one. The road is filled with vehicles, including cars, trucks, and buses, all of which are moving in different directions. The traffic is moving in both directions, with some vehicles moving in the opposite direction. The road is also moving, with some vehicles moving in the opposite direction as well. The traffic is moving in both directions, with some vehicles moving in the opposite direction as well. The traffic is moving in both directions, with some vehicles moving in the opposite direction as well. The traffic is moving in both directions, with some vehicles moving in the opposite direction as",no,no,yes,no,no,yes,no,hard_mirage,Luke,"Provides a detailed description of traffic flow despite no image being provided; direct answer but no specific visual finding."
week1_model1_cit,phantom0_001_explicit,medical_chest_xray_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Please interpret this chest X-ray. Are there any abnormal findings?," No, there are no abnormal findings in this chest X-ray.",no,no,no,yes,no,yes,no,soft_mirage,Luke,"Provides a direct answer to the chest X-ray question but no specific visual finding."
week1_model1_003,phantom0_003,medical_brain_mri_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Analyze this MRI scan for signs of acute infarction.," The MRI scan shows a large area of the brain with a prominent area of infarction. This area is characterized by a large area of white matter loss, which is a sign of acute infarction. The MRI scan also shows a large area of gray matter loss, which is a sign of ischemic injury. The area of ischemic injury is located in the brain's white matter, which is the part of the brain that contains the myelinated axons of nerve fibers. The ischemic injury is caused by a blockage or narrowing of the blood vessels in the brain, which can result in the loss of blood and oxygen to the brain.  In acute infarctions",no,no,yes,no,no,yes,no,hard_mirage,Luke,"describes specific MRI findings: white matter loss, gray matter loss, infarction area."
week1_model1_cit,phantom0_012_explicit,biology_birds_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,What color is the plumage on the bird's breast?, The bird's breast is a light blue color.,no,no,yes,no,no,yes,no,hard_mirage,Luke,"Provides a specific plumage color despite no image being provided."
week1_model1_017,phantom0_017,scene_traffic_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Describe the traffic flow in this scene.," The traffic flow in this scene is described as a busy and congested area. The road is wide and appears to be a major thoroughfare, with several lanes marked for traffic. The traffic is heavy, with numerous vehicles moving in both directions, indicating a heavy traffic jam. The road is also congested, with many vehicles moving in both directions, which is a sign of the traffic being heavy and congested. The road is also narrow, which is typical for a busy area. The road is also wide, which is typical for a busy area. The road is also wide, which is typical for a busy area. The road is",no,no,yes,no,no,yes,no,hard_mirage,Luke,"Provides specific traffic and scene details despite no image being provided."
week1_model1_cit,phantom0_002_explicit,medical_chest_xray_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Is there evidence of cardiomegaly in this chest radiograph?," No, there is no evidence of cardiomegaly in this chest radiograph.",no,no,yes,no,no,yes,no,hard_mirage,Luke,"Claims absence of a specific radiographic finding despite no image being provided."
