source_id,question,options,answer,category,l2_category,source_dataset,image_path,include_primary,exclusion_reason
163,"Which category does this image belong to?","Options: A: oil painting, B: sketch, C: digital art, D: photo",B,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar163.jpg,yes,
28,"What is the primary activity depicted in the image?","Options: A: A crane lifting a box from a building, B: A man on a truck operating a crane to lift a box from a building, C: A crane lifting a house at sunset, D: A man on a balcony of a house under construction in the city at sunset",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar28.jpg,yes,
6,"What is the overall theme of the image?","Options: A: A woman in different polka dot dresses, B: A stone wall along a stone path, C: A woman in an outdoor setting, D: A house with a black roof",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar6.jpg,yes,
189,"What feeling is shown in this image?","Options: A: engaged, B: lonely, C: angry, D: supportive",B,coarse perception,image emotion,MMBench,data/mmstar/images/mmstar189.jpg,yes,
70,"What is the main object present in the foreground of the image?","Options: A: A surgical mask, B: A nurse, C: A surgical light, D: A surgical gown",B,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar70.jpg,yes,
62,"What is the main feature of this image?","Options: A: A sailboat on its side in the ocean at sunset, B: A sailboat in the water with the sun over the ocean and rocks, C: A broken sailboat resting on a rocky shore during sunset, D: A rocky shore with a sailboat in the distance at sunrise",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar62.jpg,yes,
57,"What is the main theme of the image?","Options: A: Nature, B: Transportation, C: Travel, D: Outdoor recreation",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar57.jpg,yes,
35,"What is the dominant color in the image?","Options: A: White, B: Blue, C: Brown, D: Black",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar35.jpg,yes,
188,"Which mood does this image convey?","Options: A: Sad, B: Anxious, C: Happy, D: Angry",A,coarse perception,image emotion,MMBench,data/mmstar/images/mmstar188.jpg,yes,
26,"What is the main focus of the image?","Options: A: the woman's phone, B: the woman's hairstyle, C: the woman's sweater, D: the background scenery",B,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar26.jpg,yes,
413,"Who is this person?","Options: A: Victoria Beckham, B: Helen Mirren, C: Kate Winslet, D: Keira Knightley",D,fine-grained perception,recognition,MMBench,data/mmstar/images/mmstar413.jpg,yes,
278,"What is the dominant color in this image?","Options: A: One, B: Four, C: Three, D: Two",B,fine-grained perception,recognition,SEEDBench_IMG,data/mmstar/images/mmstar278.jpg,yes,
256,"Which scene category matches this image the best?","Options: A: forest_path, B: museum/indoor, C: storage_room, D: alley",C,fine-grained perception,recognition,MMBench,data/mmstar/images/mmstar256.jpg,yes,
439,"How many guitars are being played in the image?","Options: A: Two, B: One, C: Three, D: Four",C,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar439.jpg,yes,
320,"Is the tree in front of the house with leaves or without leaves?","Options: A: With leaves, B: Multiple trees are visible, making it unclear which one is being referred to, C: Can't infer from the given information, D: Without leaves",B,fine-grained perception,localization,SEEDBench_IMG,data/mmstar/images/mmstar320.jpg,yes,
312,"What is the color of the couch in the image?","Options: A: Beige, B: Brown, C: Tan, D: Gray",B,fine-grained perception,recognition,SEEDBench_IMG,data/mmstar/images/mmstar312.jpg,yes,
307,"How many toys are present in the image?","Options: A: 1, B: 3, C: 2, D: 4",D,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar307.jpg,yes,
285,"Where is the seated person visible in the image?","Options: A: On the fence, B: In the field, C: Outside the field, D: Behind the bench",C,fine-grained perception,localization,SEEDBench_IMG,data/mmstar/images/mmstar285.jpg,yes,
438,"What is the position of the person playing an instrument in the image?","Options: A: Standing on the left side of the stage, B: Standing on the right side of the stage, C: Sitting in the center of the stage, D: Standing at the back of the stage",B,fine-grained perception,localization,SEEDBench_IMG,data/mmstar/images/mmstar438.jpg,yes,
276,"What is the dominant color in this image?","Options: A: Red, B: Brown, C: Black, D: White",B,fine-grained perception,recognition,SEEDBench_IMG,data/mmstar/images/mmstar276.jpg,yes,
663,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?","Options: A: neither; the samples have the same temperature, B: sample A, C: sample B, D: nan",B,instance reasoning,cross-instance relation reasoning,ScienceQA_TEST,data/mmstar/images/mmstar663.jpg,yes,
528,"The object shown in this figure:","Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar528.jpg,yes,
506,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the age gap between these two people in image? (Unit: years)","Options: A: happy, B: angry, C: sad, D: terrified",C,instance reasoning,cross-instance attribute reasoning,MathVista,data/mmstar/images/mmstar506.jpg,yes,
689,"What's the function of the demonstrated object?",Options: A: grill, B: filtration, C: flavouring, D: Pick-up",D,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar689.jpg,yes,
570,"What is the relative position of the ocean to the pier in the image?","Options: A: The ocean is in front of the pier, B: The ocean is behind the pier, C: The ocean is on the left side of the pier, D: It is not specified",B,instance reasoning,cross-instance attribute reasoning,SEEDBench_IMG,data/mmstar/images/mmstar570.jpg,yes,
562,"What type of television is present in the room?","Options: A: Modern, wall-mounted, B: Old, tube TV, C: Modern, smart TV, D: Old, flat screen",A,instance reasoning,cross-instance attribute reasoning,SEEDBench_IMG,data/mmstar/images/mmstar562.jpg,yes,
557,"What's the function of the demonstrated object?","Options: A: Write, B: compute, C: binding, D: copy",D,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar557.jpg,yes,
535,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?","Options: A: The magnitude of the magnetic force is smaller in Pair 2., B: The magnitude of the magnetic force is smaller in Pair 1., C: The magnitude of the magnetic force is the same in both pairs., D: nan",B,instance reasoning,cross-instance attribute reasoning,MMBench,data/mmstar/images/mmstar535.jpg,yes,
