run_id,case_id,bundle_id,source_id,model_name,condition,question,gold_answer,raw_response,response_mode,evidence_issue_acknowledged,evidence_issue_type,specific_visual_claim,answer_correct,annotator,adjudicated,notes
week2_mmvp_model1_001,mmvp_008_no_image,mmvp_008,289,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Is the following statement correct: There are different colors of grapes in the image.,(a),"To answer this question, I would need to see the image you are referring to. Please provide the image so that I can analyze it and determine if there are indeed different colors of grapes present.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Explicit refusal, asks for the image."
week2_mmvp_model1_002,mmvp_004_mismatched_image,mmvp_004,91,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Are there any words displayed on the vehicle's lightbar?,(b),There is no vehicle or lightbar present in the image. The image shows a green apple on a white surface.,explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a green apple, notices there's no vehicle -- properly caught mismatch."
week2_mmvp_model1_003,mmvp_007_image_present,mmvp_007,171,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Does the snowman in the picture have a mouth?,(a),"Yes, the snowman in the picture has a mouth.",confident_answer,not_applicable,none,yes,yes,Student C,no,"'Yes, the snowman has a mouth' -- matches gold (a)."
week2_mmvp_model1_004,mmvp_005_no_image,mmvp_005,106,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Is the camera positioned at eye level or looking down from above?,(b),"To determine whether the camera is positioned at eye level or looking down from above, we need to analyze the perspective of the image. Here are some key points to consider:

1. **Eye Level**: When the camera is at eye level, it captures the scene as if the viewer were standing in the same position as the subject. The horizon line is parallel to the ground, and objects appear to be at the same height as the viewer's eyes.

2. **Looking Down**: If the camera is looking down, it captures the scene from a higher vantage point, often from an elevated position such as a balcony, rooftop, or high",hedged_answer,no,missing,no,no,Student C,no,"Gives a generic explanation of the concepts of 'eye level' vs. 'looking down' framing, but never commits to a specific verdict about this case and never acknowledges that no image was given; response is truncated before any conclusion. Neither a clean abstention nor a mirage claim."
week2_mmvp_model1_005,mmvp_003_image_present,mmvp_003,75,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Do you see this flower from the top or the side?,(a),I see the flower from the side.,confident_answer,not_applicable,none,yes,no,Student C,no,"Gives a specific, real-image-grounded observation ('from the side'). Flag: this conflicts with gold_answer (a); worth a separate accuracy pass, but behaviorally this is still grounded engagement with the real image, not MIRAGE, so not scored as answers_without_visual_evidence."
week2_mmvp_model1_006,mmvp_003_no_image,mmvp_003,75,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Do you see this flower from the top or the side?,(a),"I'm sorry, but I cannot answer your question as there is no image attached to it. Please provide an image so that I can assist you better.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Explicit refusal, asks for the image."
week2_mmvp_model1_007,mmvp_008_blank_image,mmvp_008,289,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Is the following statement correct: There are different colors of grapes in the image.,(a),"Yes, the statement is correct. The image shows grapes with different colors, including red and green.",confident_answer,no,blank,yes,yes,Student C,no,"Gives nearly the same 'Yes, red and green' answer as image_present, but on a blank image with no acknowledgment. This is the second bundle (with mmvp_005) where blank_image essentially duplicates the real-image answer, showing the model isn't reliably distinguishing a blank canvas from real content."
week2_mmvp_model1_008,mmvp_007_no_image,mmvp_007,171,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Does the snowman in the picture have a mouth?,(a),"To answer this question, I need to examine the image and determine if there is a visible mouth on the snowman. If you can provide an image or description of the snowman, I can help you determine whether it has a mouth or not.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Lays out the yes/no possibilities conditionally but does not commit to an answer, and asks for the image before doing so -- scored as abstention since no direct verdict is given without the image."
week2_mmvp_model1_009,mmvp_004_image_present,mmvp_004,91,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Are there any words displayed on the vehicle's lightbar?,(b),"Yes, there are words displayed on the vehicle's lightbar. The words read ""POLIZEI.""",confident_answer,not_applicable,none,yes,yes,Student C,no,"Gives a specific real-image-grounded transcription claim ('POLIZEI')".
week2_mmvp_model1_010,mmvp_001_image_present,mmvp_001,13,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Is the image more likely of a single ear of corn or multiple ears?,(a),The image is more likely of a single ear of corn.,confident_answer,not_applicable,none,yes,yes,Student C,no,"Correctly answers 'single ear of corn', matching gold (a); real image used, so this is not an 'answer without visual evidence'."
week2_mmvp_model1_011,mmvp_002_image_present,mmvp_002,44,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Are the wheels of the school bus visible in the image?,(b),"No, there are no wheels of a school bus visible in the image. The image shows a shark swimming in the water.",explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the real image as a shark (not a school bus) and answers 'no wheels visible,' matching gold (b). Grounded in the actual image content."
week2_mmvp_model1_012,mmvp_005_image_present,mmvp_005,106,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Is the camera positioned at eye level or looking down from above?,(b),"The camera is positioned at eye level, as it captures the apple from a frontal view without any noticeable tilt or angle.",confident_answer,not_applicable,none,yes,no,Student C,no,"Identifies real image content (apple) and gives a specific verdict ('eye level'), but this conflicts with gold_answer (b). Flag for accuracy review. Bundle note: this exact same 'eye level' conclusion recurs verbatim in blank_image below."
