case_id,condition,question,gold_answer,parsed_answer,model_correct,evidence_supported,answer_supported,human_review,review_notes
27,correct_image,Is the peacock's head visible in the image?,(a),a,True,,,not_yet_reviewed,
27,no_image,Is the peacock's head visible in the image?,(a),a,True,,,not_yet_reviewed,
27,blank_image,Is the peacock's head visible in the image?,(a),b,False,,,not_yet_reviewed,
27,far_mismatch,Is the peacock's head visible in the image?,(a),b,False,,,not_yet_reviewed,
27,hard_mismatch,Is the peacock's head visible in the image?,(a),b,False,,,not_yet_reviewed,
58,correct_image,Is the crocodile submerged in the water?,(b),a,False,,,not_yet_reviewed,
58,no_image,Is the crocodile submerged in the water?,(b),b,True,,,not_yet_reviewed,
58,blank_image,Is the crocodile submerged in the water?,(b),b,True,,,not_yet_reviewed,
58,far_mismatch,Is the crocodile submerged in the water?,(b),b,True,,,not_yet_reviewed,
58,hard_mismatch,Is the crocodile submerged in the water?,(b),b,True,,,not_yet_reviewed,
74,correct_image,Is the ground wet?,(b),b,True,,,not_yet_reviewed,
74,no_image,Is the ground wet?,(b),b,True,,,not_yet_reviewed,
74,blank_image,Is the ground wet?,(b),b,True,,,not_yet_reviewed,
74,far_mismatch,Is the ground wet?,(b),b,True,,,not_yet_reviewed,
74,hard_mismatch,Is the ground wet?,(b),b,True,,,not_yet_reviewed,
176,correct_image,"In the image, is the nail polish on the toes dark or light in color?",(b),b,True,,,not_yet_reviewed,
176,no_image,"In the image, is the nail polish on the toes dark or light in color?",(b),a,False,,,not_yet_reviewed,
176,blank_image,"In the image, is the nail polish on the toes dark or light in color?",(b),a,False,,,not_yet_reviewed,
176,far_mismatch,"In the image, is the nail polish on the toes dark or light in color?",(b),a,False,,,not_yet_reviewed,
176,hard_mismatch,"In the image, is the nail polish on the toes dark or light in color?",(b),a,False,,,not_yet_reviewed,
216,correct_image,Are there black stripes on the roof of the car?,(b),a,False,,,not_yet_reviewed,
216,no_image,Are there black stripes on the roof of the car?,(b),b,True,,,not_yet_reviewed,
216,blank_image,Are there black stripes on the roof of the car?,(b),b,True,,,not_yet_reviewed,
216,far_mismatch,Are there black stripes on the roof of the car?,(b),b,True,,,not_yet_reviewed,
216,hard_mismatch,Are there black stripes on the roof of the car?,(b),b,True,,,not_yet_reviewed,
111,correct_image,Is the end of the elephant's trunk pointing inward or outward?,(a),b,False,,,not_yet_reviewed,
111,no_image,Is the end of the elephant's trunk pointing inward or outward?,(a),?,False,,,not_yet_reviewed,
111,blank_image,Is the end of the elephant's trunk pointing inward or outward?,(a),a,True,,,not_yet_reviewed,
111,far_mismatch,Is the end of the elephant's trunk pointing inward or outward?,(a),a,True,,,not_yet_reviewed,
111,hard_mismatch,Is the end of the elephant's trunk pointing inward or outward?,(a),a,True,,,not_yet_reviewed,
136,correct_image,How many cup(s) of drink are there in the image?,(b),a,False,,,not_yet_reviewed,
136,no_image,How many cup(s) of drink are there in the image?,(b),a,False,,,not_yet_reviewed,
136,blank_image,How many cup(s) of drink are there in the image?,(b),?,False,,,not_yet_reviewed,
136,far_mismatch,How many cup(s) of drink are there in the image?,(b),a,False,,,not_yet_reviewed,
136,hard_mismatch,How many cup(s) of drink are there in the image?,(b),?,False,,,not_yet_reviewed,
233,correct_image,Is the sky in the background dark blue or light blue?,(a),a,True,,,not_yet_reviewed,
233,no_image,Is the sky in the background dark blue or light blue?,(a),a,True,,,not_yet_reviewed,
233,blank_image,Is the sky in the background dark blue or light blue?,(a),b,False,,,not_yet_reviewed,
233,far_mismatch,Is the sky in the background dark blue or light blue?,(a),a,True,,,not_yet_reviewed,
233,hard_mismatch,Is the sky in the background dark blue or light blue?,(a),a,True,,,not_yet_reviewed,
295,correct_image,Is the edge of the heart in the picture white or dark-colored?,(a),a,True,,,not_yet_reviewed,
295,no_image,Is the edge of the heart in the picture white or dark-colored?,(a),a,True,,,not_yet_reviewed,
295,blank_image,Is the edge of the heart in the picture white or dark-colored?,(a),b,False,,,not_yet_reviewed,
295,far_mismatch,Is the edge of the heart in the picture white or dark-colored?,(a),b,False,,,not_yet_reviewed,
295,hard_mismatch,Is the edge of the heart in the picture white or dark-colored?,(a),a,True,,,not_yet_reviewed,
267,correct_image,Is the child in the picture facing forward or in profile?,(a),a,True,,,not_yet_reviewed,
