source_id,mismatch_source_id,difficulty_rating,reason
27,132,3,"Both involve animals with visibility/pose reasoning, but the mismatch image should not answer the original question."
58,120,3,"Both are animals with body-part visibility reasoning, but depict different subjects."
74,233,2,"Both involve environmental scene interpretation rather than object identity."
176,246,2,"Both involve human body pose/orientation but different actions."
216,158,3,"Both are vehicle-focused images requiring fine-grained visual reasoning."
111,141,3,"Both involve elephant trunk attributes but ask different questions."
136,225,2,"Both involve counting or arrangement of objects in tabletop scenes."
233,299,2,"Both involve interpreting the sky or background but different scenes."
295,273,1,"Both involve pattern recognition but different objects."
267,271,2,"Both involve people and body orientation or clothing cues."
6,85,2,"Both involve animals with pose or orientation reasoning."
11,27,2,"Both involve peacocks but different visual attributes."
18,216,2,"Both are vehicle appearance questions with different evidence."
97,66,3,"Both involve keyboards or devices with different evidence requirements."
36,193,2,"Both involve food imagery but different reasoning tasks."
66,97,3,"Similar technology devices with different evidence requirements."
70,79,2,"Both involve snakes but different visual cues."
79,70,2,"Both involve snakes but different pose reasoning."
87,97,2,"Both involve computer peripherals but different questions."
155,269,2,"Both depict indoor furniture or interior layouts."
114,125,2,"Both involve object visibility inside scenes."
120,117,2,"Both ask about visible eyes on animals."
132,131,2,"Same subject category with different positional reasoning."
145,105,3,"Both ask about camera viewpoint or perspective."
151,219,2,"Both involve human motion or orientation."
158,157,2,"Same motorcycle subject but different visual attributes."
167,205,2,"Both involve food or drink scenes with different evidence."
186,197,2,"Both involve people on weighing scales but different questions."
193,167,2,"Similar food category with different scene evidence."
198,211,2,"Both involve human hands or body positioning."
205,251,2,"Beverage or container reasoning with different questions."
212,211,3,"Both involve hand position and object placement."
225,229,2,"Both involve arrangements of containers on a surface."
263,249,2,"Both involve cakes or desserts but different visual cues."
271,267,2,"Human appearance or orientation reasoning."
276,275,2,"Same treehouse subject with different counting reasoning."
284,263,2,"Both involve prepared food items but different questions."
292,253,1,"Both involve illustrated or cartoon characters."
150,149,3,"Same piano object with different viewpoint reasoning."
39,21,2,"Both involve ducks but different visual evidence."
109,33,2,"Both involve birds with body-part or pose reasoning."
